Scenario_ID,Category,A_route_Pass,P_ground_Pass,S_sync_Pass,C_narr_Pass,Latency_ms
A-01,Path A: Melee,1,1,1,1,783
A-02,Path A: Melee,1,1,1,1,775
A-03,Path A: Melee,1,1,1,1,2136
A-04,Path A: Melee,1,1,1,1,826
A-05,Path A: Melee,1,1,1,1,836
A-06,Path A: Ranged,1,1,1,1,736
A-07,Path A: Ranged,1,1,1,1,1793
A-08,Path A: Ranged,1,1,1,1,754
A-09,Path A: Ranged,1,1,1,1,708
A-10,Path A: Ranged,1,1,1,1,834
A-11,Path A: Movement,1,1,1,1,905
A-12,Path A: Movement,1,1,1,1,783
A-13,Path A: Movement,1,1,1,1,796
A-14,Path A: Movement,1,1,1,1,695
A-15,Path A: Movement,1,1,1,1,669
A-16,Path A: Items,1,1,1,1,1463
A-17,Path A: Items,1,1,1,1,1398
A-18,Path A: Items,1,1,1,1,1466
A-19,Path A: Items,1,1,0,1,807
A-20,Path A: Items,1,1,1,1,1417
B-21,Path B: Creative,1,1,1,1,2276
B-22,Path B: Creative,1,1,1,1,2509
B-23,Path B: Creative,1,1,1,1,2878
B-24,Path B: Creative,1,1,1,1,3287
B-25,Path B: Creative,1,1,1,1,3693
B-26,Path B: Social,1,1,1,1,4084
B-27,Path B: Social,1,1,1,1,4710
B-28,Path B: Social,1,1,1,1,4021
B-29,Path B: Social,1,1,1,1,3443
B-30,Path B: Social,1,1,1,1,2688
B-31,Path B: Improv,1,1,1,1,4275
B-32,Path B: Improv,1,1,1,1,2419
B-33,Path B: Improv,1,1,1,1,135485
B-34,Path B: Improv,1,1,1,1,3394
B-35,Path B: Improv,1,1,1,1,10991
C-36,Edge: Impossible,1,1,1,1,1886
C-37,Edge: Impossible,1,1,1,1,2334
C-38,Edge: Impossible,1,1,1,1,5364
C-39,Edge: Impossible,1,1,1,1,15751
C-40,Edge: Impossible,1,1,1,1,9886
C-41,Edge: Rules,1,1,1,1,1937
C-42,Edge: Rules,1,1,0,1,2722
C-43,Edge: Rules,1,1,1,1,3604
C-44,Edge: Rules,1,1,1,1,5088
C-45,Edge: Rules,1,1,1,1,789
D-46,System: AI,1,1,1,1,0
D-47,System: AI,1,1,1,1,0
D-48,System: Memory,1,1,1,1,766
D-49,System: Memory,1,1,1,1,970
D-50,System: State,1,1,1,1,0
E-51,Exploration: Hybrid Routing,1,1,1,1,0
E-52,Exploration: Hybrid Routing,1,1,1,1,762
E-53,Exploration: Hybrid Routing,1,1,1,1,0
E-54,Exploration: Hybrid Routing,1,1,1,1,0
E-55,Exploration: Hybrid Routing,1,1,1,1,0
E-56,Exploration: Hybrid Routing,1,1,1,1,0
E-57,Exploration: Hybrid Routing,1,1,1,1,632
E-58,Exploration: Hybrid Routing,1,1,1,1,0
E-59,Exploration: Hybrid Routing,1,1,1,1,0
E-60,Exploration: Hybrid Routing,1,1,1,1,0
E-61,Exploration: Hybrid Routing,1,1,1,1,0
E-62,Exploration: Hybrid Routing,1,1,1,1,0
F-63,Exploration: Guardrails,1,1,1,1,0
F-64,Exploration: Guardrails,1,1,1,1,0
F-65,Exploration: Guardrails,1,1,1,1,0
F-66,Exploration: Guardrails,1,1,1,1,0
F-67,Exploration: Guardrails,1,1,1,1,0
F-68,Exploration: Guardrails,1,1,1,1,959
F-69,Exploration: Guardrails,1,1,1,1,0
F-70,Exploration: Guardrails,1,1,1,1,0
G-71,Quest: Procedural Generation,1,1,1,1,2254
G-72,Quest: Procedural Generation,1,1,1,1,0
G-73,Quest: Procedural Generation,1,1,1,1,0
G-74,Quest: Procedural Generation,1,1,1,1,0
G-75,Quest: Procedural Generation,1,1,1,1,0
G-76,Quest: Procedural Generation,1,1,1,1,0
G-77,Quest: Procedural Generation,1,1,1,1,0
G-78,Quest: Procedural Generation,1,1,1,1,15
G-79,Quest: Procedural Generation,1,1,1,1,0
G-80,Quest: Procedural Generation,1,1,1,1,0
H-81,Abilities: Pray,1,1,1,1,814
H-82,Abilities: Second Wind,1,1,1,1,689
H-83,Abilities: Lay on Hands,1,1,1,1,767
H-84,Abilities: Smite,1,1,1,1,746
H-85,Flee: Contested,1,1,0,1,756
H-86,Flee: Contested,1,1,0,1,653
H-87,Abilities: Charge Guard,1,1,1,1,848
H-88,Abilities: Combo,1,1,0,1,1046
H-89,Flee: No Enemies,1,1,1,1,0
H-90,Abilities: Condition Block,1,1,1,1,1503
TOTAL_ACCURACY,(90 scenarios),100%,100%,94%,100%,avg 3047
