Scenario_ID,Category,Latency_ms
A-01,Path A: Melee,1700
A-02,Path A: Melee,1174
A-03,Path A: Melee,1217
A-04,Path A: Melee,1171
A-05,Path A: Melee,1244
A-06,Path A: Ranged,1001
A-07,Path A: Ranged,2109
A-08,Path A: Ranged,945
A-09,Path A: Ranged,1124
A-10,Path A: Ranged,1793
A-11,Path A: Movement,1351
A-12,Path A: Movement,2270
A-13,Path A: Movement,1229
A-14,Path A: Movement,1468
A-15,Path A: Movement,1464
A-16,Path A: Items,945
A-17,Path A: Items,1570
A-18,Path A: Items,1031
A-19,Path A: Items,1374
A-20,Path A: Items,3013
B-21,Path B: Creative,1076
B-22,Path B: Creative,2413
B-23,Path B: Creative,1070
B-24,Path B: Creative,1020
B-25,Path B: Creative,3359
B-26,Path B: Social,1693
B-27,Path B: Social,32745
B-28,Path B: Social,2306
B-29,Path B: Social,7152
B-30,Path B: Social,1503
B-31,Path B: Improv,1747
B-32,Path B: Improv,2813
B-33,Path B: Improv,3274
B-34,Path B: Improv,4098
B-35,Path B: Improv,1113
C-36,Edge: Impossible,1481
C-37,Edge: Impossible,3851
C-38,Edge: Impossible,1466
C-39,Edge: Impossible,4379
C-40,Edge: Impossible,1380
C-41,Edge: Rules,2422
C-42,Edge: Rules,1156
C-43,Edge: Rules,1355
C-44,Edge: Rules,1283
C-45,Edge: Rules,1654
E-51,Exploration: Hybrid Routing,2021
E-52,Exploration: Hybrid Routing,6688
E-53,Exploration: Hybrid Routing,10333
E-54,Exploration: Hybrid Routing,10816
E-55,Exploration: Hybrid Routing,2503
E-56,Exploration: Hybrid Routing,1469
E-57,Exploration: Hybrid Routing,1687
E-58,Exploration: Hybrid Routing,1809
E-59,Exploration: Hybrid Routing,3868
E-60,Exploration: Hybrid Routing,1719
E-61,Exploration: Hybrid Routing,2406
E-62,Exploration: Hybrid Routing,1965
F-63,Exploration: Guardrails,2067
F-64,Exploration: Guardrails,1485
F-65,Exploration: Guardrails,3243
F-66,Exploration: Guardrails,1400
F-67,Exploration: Guardrails,1348
F-68,Exploration: Guardrails,1912
F-69,Exploration: Guardrails,3130
F-70,Exploration: Guardrails,2698
H-81,Abilities: Pray,954
H-82,Abilities: Second Wind,1997
H-83,Abilities: Lay on Hands,5346
H-84,Abilities: Smite,1099
H-85,Flee: Contested,1188
H-86,Flee: Contested,2765
H-87,Abilities: Charge Guard,3316
H-88,Abilities: Combo,1265
H-90,Abilities: Condition Block,1506
